step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size
24910,96,10.0,1.0,110,0.0014047306030988693,0.09994875639677048,0.977581,24910
25118,97,40.0,4.0,208,0.0012781685218214989,0.0697065144777298,0.9773938,25118
25167,98,0.0,0.0,49,0.0012369091855362058,0.18322327733039856,0.9773497,25167
25250,99,0.0,0.0,83,0.0010981153463944793,0.12449122965335846,0.977275,25250
25326,100,20.0,2.0,76,0.0008213637629523873,0.16086190938949585,0.9772066,25326
25566,101,20.0,2.0,240,0.001020299387164414,0.0834536924958229,0.9769906,25566
26395,102,90.0,9.0,829,0.0012914936523884535,0.1627340018749237,0.9762445,26395
26446,103,0.0,0.0,51,0.0009906505001708865,0.07634620368480682,0.9761986,26446
26533,104,0.0,0.0,87,0.0007265894091688097,0.06615199148654938,0.9761203,26533
27000,105,70.0,7.0,467,0.012032062746584415,0.08578316867351532,0.9757,27000
27284,106,60.0,6.0,284,0.013202195055782795,0.16432183980941772,0.9754444,27284
27693,107,40.0,4.0,409,0.0010374311823397875,0.09560777246952057,0.9750763,27693
27840,108,10.0,1.0,147,0.0006774890352971852,0.060312919318675995,0.974944,27840
28348,109,70.0,7.0,508,0.002937731333076954,0.16957516968250275,0.9744868,28348
28506,110,10.0,1.0,158,0.0014851633459329605,0.08268767595291138,0.9743446,28506
28612,111,20.0,2.0,106,0.0008177760755643249,0.1001744195818901,0.9742492,28612
28716,112,10.0,1.0,104,0.0007807004149071872,0.07111614942550659,0.9741556,28716
28871,113,40.0,4.0,155,0.0008155858959071338,0.05737343430519104,0.9740161,28871
29003,114,40.0,4.0,132,0.0009795799851417542,0.052258122712373734,0.9738973,29003
29319,115,40.0,4.0,316,0.0007419659523293376,0.09094253182411194,0.9736129,29319
29590,116,70.0,7.0,271,0.0025782135780900717,0.11533674597740173,0.973369,29590
29827,117,40.0,4.0,237,0.0007646777667105198,0.11549575626850128,0.9731557,29827
30269,118,60.0,6.0,442,0.004205289296805859,0.19752848148345947,0.9727579,30269
30373,119,10.0,1.0,104,0.0020690064411610365,0.1609671711921692,0.9726643,30373
30452,120,10.0,1.0,79,0.0019530722638592124,0.11011472344398499,0.9725932,30452
30499,121,10.0,1.0,47,0.0013332467060536146,0.22469864785671234,0.9725509,30499
30906,122,50.0,5.0,407,0.0013007253874093294,0.1485535055398941,0.9721846,30906
31429,123,110.0,11.0,523,0.001571018248796463,0.12261432409286499,0.9717139,31429
31524,124,10.0,1.0,95,0.0021936330012977123,0.16813969612121582,0.9716284,31524
31803,125,40.0,4.0,279,0.0015017094556242228,0.12565159797668457,0.9713773,31803
31858,126,0.0,0.0,55,0.0029873305466026068,0.15694862604141235,0.9713278,31858
32024,127,20.0,2.0,166,0.0015822311397641897,0.10779693722724915,0.9711784,32024
32569,128,100.0,10.0,545,0.0023495242930948734,0.1478542983531952,0.9706879,32569
32645,129,10.0,1.0,76,0.000859213643707335,0.10644607245922089,0.9706195,32645
32697,130,10.0,1.0,52,0.0016196905635297298,0.1578303873538971,0.9705727,32697
32750,131,0.0,0.0,53,0.0018320486415177584,0.13891984522342682,0.970525,32750
32984,132,20.0,2.0,234,0.0018237970070913434,0.14972680807113647,0.9703144,32984
34159,133,235.0,21.0,1175,0.001693153753876686,0.14563047885894775,0.9692569,34159
34207,134,10.0,1.0,48,0.002679024823009968,0.1883392035961151,0.9692137,34207
34480,135,60.0,6.0,273,0.001726074144244194,0.16679759323596954,0.968968,34480
34536,136,0.0,0.0,56,0.0012495929840952158,0.1401897668838501,0.9689176,34536
35272,137,90.0,9.0,736,0.0036381662357598543,0.23182636499404907,0.9682552,35272
35686,138,50.0,5.0,414,0.0011763257207348943,0.13852016627788544,0.9678826,35686
36112,139,120.0,12.0,426,0.0007066650432534516,0.1286558359861374,0.9674992,36112
36585,140,60.0,6.0,473,0.0008950570481829345,0.1467006504535675,0.9670735,36585
36640,141,10.0,1.0,55,0.0009156707674264908,0.1718197613954544,0.967024,36640
36729,142,10.0,1.0,89,0.0021280385553836823,0.2283954620361328,0.9669439,36729
36824,143,10.0,1.0,95,0.001955660292878747,0.167608380317688,0.9668584,36824
36900,144,10.0,1.0,76,0.0016778495628386736,0.22294296324253082,0.96679,36900
36955,145,10.0,1.0,55,0.0007491071010008454,0.1809687465429306,0.9667405,36955
37002,146,0.0,0.0,47,0.0022627448197454214,0.24732385575771332,0.9666982,37002
37244,147,10.0,1.0,242,0.0014231628738343716,0.14122773706912994,0.9664804,37244
37295,148,0.0,0.0,51,0.0016950545832514763,0.2144879400730133,0.9664345,37295
37453,149,30.0,3.0,158,0.0030272481963038445,0.19572916626930237,0.9662923,37453
37501,150,0.0,0.0,48,0.0008735564770177007,0.16606837511062622,0.9662491,37501
37595,151,10.0,1.0,94,0.0014181884471327066,0.18029651045799255,0.9661645,37595
37830,152,20.0,2.0,235,0.0010363127803429961,0.14423850178718567,0.965953,37830
38060,153,30.0,3.0,230,0.0009019016870297492,0.14152464270591736,0.965746,38060
38369,154,60.0,6.0,309,0.0010104099055752158,0.10883371531963348,0.9654679,38369
38425,155,10.0,1.0,56,0.0014043176779523492,0.19468210637569427,0.9654175,38425
38850,156,60.0,6.0,425,0.001968723488971591,0.11536167562007904,0.965035,38850
38934,157,0.0,0.0,84,0.002464132849127054,0.26636505126953125,0.9649594,38934
39386,158,60.0,6.0,452,0.0006130840629339218,0.0798264592885971,0.9645526,39386
39477,159,10.0,1.0,91,0.0025776999536901712,0.12561410665512085,0.9644707,39477
39553,160,0.0,0.0,76,0.0012488339561969042,0.1391800045967102,0.9644023,39553
39835,161,20.0,2.0,282,0.004055526107549667,0.14526233077049255,0.9641485,39835
40072,162,20.0,2.0,237,0.010515760630369186,0.2364465445280075,0.9639352,40072
40263,163,40.0,4.0,191,0.013713506981730461,0.2916795015335083,0.9637633,40263
40594,164,80.0,8.0,331,0.007064396515488625,0.21796545386314392,0.9634654,40594
40732,165,30.0,3.0,138,0.0073417676612734795,0.26451772451400757,0.9633412,40732
40910,166,30.0,3.0,178,0.01094150636345148,0.2505018711090088,0.963181,40910
40963,167,10.0,1.0,53,0.002339459490031004,0.2702435255050659,0.9631333,40963
41566,168,70.0,7.0,603,0.004086198750883341,0.17532643675804138,0.9625906,41566
41711,169,40.0,4.0,145,0.005824793130159378,0.27479875087738037,0.9624601,41711
41917,170,60.0,6.0,206,0.0023983102291822433,0.21828967332839966,0.9622747,41917
41967,171,10.0,1.0,50,0.00858837366104126,0.2289143204689026,0.9622297,41967
42049,172,20.0,2.0,82,0.010184938088059425,0.20279011130332947,0.9621559,42049
42691,173,130.0,13.0,642,0.001879825140349567,0.1781114935874939,0.9615781,42691
42907,174,40.0,4.0,216,0.0012008333578705788,0.19757390022277832,0.9613837,42907
43184,175,60.0,6.0,277,0.008009299635887146,0.34770068526268005,0.9611343999999999,43184
44019,176,150.0,15.0,835,0.001989925280213356,0.16428813338279724,0.9603829,44019
44269,177,40.0,4.0,250,0.0024338597431778908,0.19048218429088593,0.9601579,44269
44319,178,0.0,0.0,50,0.007228873670101166,0.2747419774532318,0.9601129,44319
44559,179,20.0,2.0,240,0.0026696757413446903,0.20337343215942383,0.9598968999999999,44559
45020,180,90.0,9.0,461,0.0024506933987140656,0.17676998674869537,0.959482,45020
45552,181,80.0,8.0,532,0.0019623511470854282,0.19849756360054016,0.9590032,45552
46024,182,70.0,7.0,472,0.0024695475585758686,0.20292162895202637,0.9585783999999999,46024
46079,183,10.0,1.0,55,0.0023293765261769295,0.2139357477426529,0.9585289,46079
46190,184,30.0,3.0,111,0.0020383941009640694,0.19710706174373627,0.958429,46190
46494,185,70.0,7.0,304,0.0012019791174679995,0.17541947960853577,0.9581554,46494
46715,186,70.0,7.0,221,0.003455564845353365,0.29795950651168823,0.9579565,46715
46933,187,60.0,6.0,218,0.0021757143549621105,0.23439298570156097,0.9577603,46933
47087,188,40.0,4.0,154,0.0009681357187218964,0.19101957976818085,0.9576217,47087
47167,189,10.0,1.0,80,0.002757440088316798,0.2002624273300171,0.9575497,47167
