step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
89075,196,10.0,1.0,157,0.004195136949419975,0.1391671746969223,0.0,89075,6.123810416666666e-05
89196,197,10.0,1.0,121,0.0018960346933454275,0.23314902186393738,0.0,89196,6.123639e-05
89276,198,10.0,1.0,80,0.0029673916287720203,0.20272406935691833,0.0,89276,6.123525666666667e-05
89748,199,60.0,6.0,472,0.006396505981683731,0.15203510224819183,0.0,89748,6.122857e-05
89837,200,20.0,2.0,89,0.0019007129594683647,0.19969500601291656,0.0,89837,6.122730916666666e-05
89973,201,50.0,5.0,136,0.004918753635138273,0.20934298634529114,0.0,89973,6.12253825e-05
90225,202,50.0,5.0,252,0.00805901363492012,0.27796584367752075,0.0,90225,6.12218125e-05
90378,203,20.0,2.0,153,0.002270438941195607,0.2194589525461197,0.0,90378,6.1219645e-05
90581,204,10.0,1.0,203,0.0029505249112844467,0.16568610072135925,0.0,90581,6.121676916666667e-05
90797,205,30.0,3.0,216,0.009865631349384785,0.228164404630661,0.0,90797,6.121370916666667e-05
91115,206,60.0,6.0,318,0.0015252968296408653,0.15708717703819275,0.0,91115,6.120920416666666e-05
91192,207,10.0,1.0,77,0.007033088710159063,0.22673027217388153,0.0,91192,6.120811333333333e-05
91350,208,20.0,2.0,158,0.006067858077585697,0.2199617475271225,0.0,91350,6.1205875e-05
91628,209,40.0,4.0,278,0.0040664030238986015,0.23542241752147675,0.0,91628,6.120193666666667e-05
91817,210,20.0,2.0,189,0.0010074367746710777,0.20612072944641113,0.0,91817,6.119925916666666e-05
92114,211,30.0,3.0,297,0.004364305175840855,0.22856101393699646,0.0,92114,6.119505166666667e-05
92216,212,20.0,2.0,102,0.0009424656163901091,0.1393493115901947,0.0,92216,6.119360666666667e-05
92328,213,0.0,0.0,112,0.004037109203636646,0.21869754791259766,0.0,92328,6.119202000000001e-05
93207,214,175.0,17.0,879,0.0026533189229667187,0.18059034645557404,0.0,93207,6.11795675e-05
93829,215,140.0,14.0,622,0.00236890628002584,0.21339207887649536,0.0,93829,6.117075583333334e-05
94114,216,30.0,3.0,285,0.0013875155709683895,0.20186930894851685,0.0,94114,6.116671833333333e-05
94224,217,20.0,2.0,110,0.0031188284046947956,0.13932915031909943,0.0,94224,6.116516e-05
94420,218,30.0,3.0,196,0.0027720911893993616,0.18336695432662964,0.0,94420,6.116238333333333e-05
94612,219,10.0,1.0,192,0.002613740274682641,0.2238299548625946,0.0,94612,6.115966333333333e-05
94785,220,30.0,3.0,173,0.0026077458169311285,0.10998666286468506,0.0,94785,6.11572125e-05
95228,221,60.0,6.0,443,0.0013624835992231965,0.1947668492794037,0.0,95228,6.115093666666667e-05
95363,222,30.0,3.0,135,0.0024858787655830383,0.15180101990699768,0.0,95363,6.114902416666667e-05
96115,223,90.0,9.0,752,0.00915775541216135,0.34069693088531494,0.0,96115,6.113837083333333e-05
96338,224,40.0,4.0,223,0.0023007835261523724,0.16815929114818573,0.0,96338,6.113521166666667e-05
96582,225,20.0,2.0,244,0.0010732384398579597,0.18790748715400696,0.0,96582,6.1131755e-05
96813,226,30.0,3.0,231,0.0049291010946035385,0.26716363430023193,0.0,96813,6.11284825e-05
96894,227,0.0,0.0,81,0.006211686879396439,0.18383947014808655,0.0,96894,6.1127335e-05
96980,228,20.0,2.0,86,0.0027031481731683016,0.3136298358440399,0.0,96980,6.112611666666667e-05
97596,229,60.0,6.0,616,0.0018206764943897724,0.22952063381671906,0.0,97596,6.111739e-05
97783,230,30.0,3.0,187,0.00467979721724987,0.3156542181968689,0.0,97783,6.111474083333333e-05
97890,231,20.0,2.0,107,0.004389666952192783,0.2064133882522583,0.0,97890,6.1113225e-05
97947,232,0.0,0.0,57,0.0015063881874084473,0.18992581963539124,0.0,97947,6.11124175e-05
98049,233,20.0,2.0,102,0.003517682198435068,0.23327547311782837,0.0,98049,6.11109725e-05
98516,234,80.0,8.0,467,0.003609698498621583,0.31745803356170654,0.0,98516,6.110435666666666e-05
98571,235,0.0,0.0,55,0.0018399900291115046,0.21112138032913208,0.0,98571,6.11035775e-05
98623,236,0.0,0.0,52,0.0019362890161573887,0.25309380888938904,0.0,98623,6.110284083333334e-05
98793,237,40.0,4.0,170,0.0067105721682310104,0.1935259848833084,0.0,98793,6.11004325e-05
98962,238,20.0,2.0,169,0.0039689866825938225,0.23645520210266113,0.0,98962,6.109803833333334e-05
99013,239,0.0,0.0,51,0.0013846639776602387,0.2551290690898895,0.0,99013,6.109731583333334e-05
99559,240,80.0,8.0,546,0.002466878853738308,0.25191330909729004,0.0,99559,6.108958083333333e-05
99671,241,10.0,1.0,112,0.006313089281320572,0.3327079117298126,0.0,99671,6.108799416666667e-05
99955,242,60.0,6.0,284,0.0017887027934193611,0.2771409749984741,0.0,99955,6.108397083333333e-05
