step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
104695,112,235.0,2.35,1153,7.046430982882157e-05,0.0710122212767601,0.89635195,104695,6.06678375e-05
105227,113,130.0,1.3,532,1.0601039321045391e-05,0.07137572020292282,0.89582527,105227,6.06585275e-05
107566,114,325.0,3.2499999999999996,2339,1.5304938642657362e-05,0.07384274899959564,0.89350966,107566,6.0617595e-05
108167,115,130.0,1.3,601,0.00042936275713145733,0.0722842812538147,0.89291467,108167,6.06070775e-05
108876,116,120.0,1.2,709,0.00015827201423235238,0.07345902919769287,0.89221276,108876,6.059467e-05
109502,117,80.0,0.7999999999999999,626,8.474475907860324e-05,0.07169360667467117,0.89159302,109502,6.0583715e-05
112324,118,1520.0,15.2,2822,1.2537415386759676e-05,0.07629089057445526,0.88879924,112324,6.053433e-05
113031,119,110.0,1.0999999999999999,707,0.000220108573557809,0.07503185421228409,0.88809931,113031,6.05219575e-05
113538,120,120.0,1.2,507,0.0002577415434643626,0.07482276856899261,0.88759738,113538,6.0513085e-05
114366,121,90.0,0.8999999999999999,828,1.0519975148781668e-05,0.07260304689407349,0.88677766,114366,6.0498595000000003e-05
115132,122,220.0,2.2,766,7.171228844526922e-06,0.07653585821390152,0.8860193199999999,115132,6.048519e-05
116087,123,160.0,1.6000000000000003,955,3.411572834011167e-05,0.07210110127925873,0.88507387,116087,6.04684775e-05
117247,124,150.0,1.5000000000000002,1160,9.845683962339535e-06,0.07387025654315948,0.88392547,117247,6.0448177500000004e-05
118589,125,130.0,1.3,1342,0.00027098727878183126,0.07312161475419998,0.88259689,118589,6.04246925e-05
119185,126,80.0,0.7999999999999999,596,0.00014764556544832885,0.07780040055513382,0.88200685,119185,6.04142625e-05
119909,127,100.0,0.9999999999999999,724,1.415724000253249e-05,0.07374390214681625,0.88129009,119909,6.0401592500000004e-05
120826,128,205.0,2.0500000000000003,917,0.00013954781752545387,0.07483980804681778,0.88038226,120826,6.0385545e-05
121351,129,100.0,0.9999999999999999,525,0.00010454880248289555,0.07351886481046677,0.87986251,121351,6.03763575e-05
122108,130,130.0,1.3,757,1.5334760973928496e-05,0.07423021644353867,0.87911308,122108,6.036311e-05
123327,131,90.0,0.8999999999999999,1219,6.669059985142667e-06,0.07421651482582092,0.87790627,123327,6.03417775e-05
124026,132,100.0,0.9999999999999999,699,7.134493444027612e-06,0.07209272682666779,0.87721426,124026,6.0329545e-05
124490,133,70.0,0.7,464,7.260507845785469e-05,0.07545159012079239,0.8767549,124490,6.0321425e-05
125778,134,175.0,1.7500000000000002,1288,1.2331464859016705e-05,0.07498404383659363,0.87547978,125778,6.0298885e-05
126295,135,100.0,0.9999999999999999,517,0.00020959111861884594,0.07863319665193558,0.87496795,126295,6.02898375e-05
127534,136,190.0,1.9000000000000001,1239,0.000252756493864581,0.07799957692623138,0.87374134,127534,6.0268155000000004e-05
129406,137,325.0,3.2499999999999996,1872,1.4205761544872075e-05,0.07385803014039993,0.8718880600000001,129406,6.0235395e-05
129905,138,80.0,0.7999999999999999,499,0.0001244841841980815,0.0787123441696167,0.87139405,129905,6.02266625e-05
130773,139,160.0,1.6000000000000003,868,3.0650167900603265e-05,0.07885227352380753,0.87053473,130773,6.02114725e-05
131373,140,90.0,0.8999999999999999,600,0.00011648783402051777,0.07915309071540833,0.86994073,131373,6.02009725e-05
132532,141,310.0,3.0999999999999996,1159,1.6026890079956502e-05,0.07858145236968994,0.86879332,132532,6.0180690000000004e-05
133384,142,150.0,1.5000000000000002,852,0.00015745217388030142,0.07929621636867523,0.86794984,133384,6.0165780000000005e-05
134006,143,90.0,0.8999999999999999,622,2.5653393095126376e-05,0.07683974504470825,0.86733406,134006,6.0154895e-05
135963,144,340.0,3.3999999999999995,1957,1.3793829566566274e-05,0.0712263435125351,0.86539663,135963,6.01206475e-05
136656,145,120.0,1.2,693,3.828842818620615e-05,0.08260197937488556,0.86471056,136656,6.0108520000000004e-05
137017,146,50.0,0.5,361,0.00017294658755417913,0.08047880977392197,0.86435317,137017,6.01022025e-05
138233,147,295.0,2.9499999999999997,1216,0.0001655112864682451,0.07975452393293381,0.86314933,138233,6.00809225e-05
139406,148,325.0,3.2499999999999996,1173,0.00021172223205212504,0.07435411214828491,0.8619880600000001,139406,6.0060395e-05
140374,149,220.0,2.2,968,1.4828951862000395e-05,0.07968275249004364,0.86102974,140374,6.0043455e-05
141167,150,150.0,1.5000000000000002,793,0.002550897654145956,0.08542400598526001,0.86024467,141167,6.00295775e-05
141415,151,60.0,0.6,248,8.557864202884957e-05,0.07680399715900421,0.8599991499999999,141415,6.00252375e-05
